year,road_t,road_n,car,puj,uv,taxi,pub,truck,trailer,mc,tricycle,total,year_cat,year_int,car_log,puj_sqrt,uv_log1p,taxi_sqrt,pub_log,trailer_log1p,mc_sqrt,tricycle_sqrt,total_log
2017-01-01,C1,RECTO,21366,131340,21720,4069,5450,584,3,19551,3253,64677,2017,2017,9.969556152505833,362.4086091692635,9.985988774047872,63.788713735268246,8.60337088765729,1.3862943611198906,139.82489048806724,57.0350769263968,11.077160930426118
2017-01-01,C2,MENDOZA,49430,560,5190,5358,2130,5102,731,21983,987,84379,2017,2017,10.808312806301005,23.664319132398465,8.554488976159934,73.1983606373804,7.6638772587034705,6.595780513961311,148.26665167865633,31.416556144810016,11.343073834458544
2017-01-01,C2,QUIRINO AVENUE,59647,15740,4540,6852,990,5958,981,27686,1867,105118,2017,2017,10.99619913288327,125.45915670049756,8.420682291035394,82.7768083462995,6.897704943128636,6.889591308354466,166.3911055315157,43.2087954009366,11.562838807662253
2017-01-01,C3,ARANETA AVENUE,40306,19450,140,4207,60,4163,607,26107,2675,80030,2017,2017,10.604255620227434,139.46325680981354,4.941642422609304,64.8613906727261,4.0943445622221,6.410174881966167,161.5766072177529,51.720402163943,11.290156843361093
2017-01-01,C4,EDSA,247527,23690,72290,20022,122830,8830,2,69438,28,367728,2017,2017,12.419274945949992,153.9155612665594,11.188441085994343,141.4991166050163,11.71855656453314,1.0986122886681098,263.51091059005506,5.291502622129181,12.815098813424711
2017-01-01,C5,C5,133171,9230,84420,7293,2210,10121,680,57881,19,218751,2017,2017,11.799389295666765,96.0728889958036,11.34355961933649,85.39906322671227,7.700747794511798,6.523562306149512,240.58470441821524,4.358898943540674,12.295689375637984
2017-01-01,R1,ROXAS BOULEVARD,120524,420,76260,16660,21030,747,1111,42191,116,191120,2017,2017,11.699604182205592,20.493901531919196,11.241903833411556,129.07362240210043,9.953705268696746,7.013915474810528,205.40447901640314,10.770329614269007,12.160656781999691
2017-01-01,R2,TAFT AVENUE,36558,121520,132360,5643,37490,640,10,18028,570,90586,2017,2017,10.506655319476549,348.5971887436845,11.793280762035549,75.11990415329349,10.531829509729958,2.3978952727983707,134.2683879399764,23.874672772626646,11.41405495470448
2017-01-01,R3,SSH,65381,3530,6840,6650,8920,5182,2376,21797,62,103377,2017,2017,11.08798697535854,59.413803110051795,8.830543010616596,81.54753215150045,9.096051225574055,7.773594467360194,147.63807097087118,7.874007874011811,11.546137779176325
2017-01-01,R4,SHAW BOULEVARD,55632,64500,34960,4029,1070,1054,126,30724,6,101624,2017,2017,10.926513854247643,253.96850198400588,10.461959829769471,63.474404290233394,6.975413927455952,4.844187086458591,175.2826289168439,2.449489742783178,11.529035006703296
