Year,District,Driver_Killed,Passenger_Killed,Pedestrian_Killed,Driver_Injured,Passenger_Injured,Pedestrian_Injured,Driver_Injured_sqrt
2015,Central,67,23,61,2756,1957,1257,52.49761899362675
2015,Eastern,25,14,23,2024,1150,818,44.98888751680797
2015,Northern,48,11,33,1382,827,981,37.17526059088221
2015,Southern,65,14,66,3469,1739,1953,58.89821729050889
2015,Western,27,7,52,710,339,496,26.645825188948457
2016,Central,50,16,57,3108,1615,1162,55.749439459065414
2016,Eastern,29,3,14,2080,1102,761,45.60701700396552
2016,Northern,42,16,29,1401,951,832,37.429934544425805
2016,Southern,58,17,45,3028,1691,1760,55.02726596879042
2016,Western,15,5,50,616,371,398,24.819347291981714
2017,Central,63,25,48,3068,1736,1144,55.389529696504916
2017,Eastern,30,4,13,1747,879,651,41.79712908801273
2017,Northern,44,8,28,1455,914,874,38.144462245521304
2017,Southern,60,13,43,2502,1312,1652,50.0199960015992
2017,Western,20,5,30,719,350,371,26.814175355583846
2018,Central,49,16,40,3606,1907,1166,60.049979184009715
2018,Eastern,25,8,8,1884,923,784,43.40506882842141
2018,Northern,43,17,19,1642,1018,734,40.52159917870962
2018,Southern,60,8,45,3230,1358,1734,56.83308895353129
2018,Western,21,5,30,999,426,482,31.606961258558215
2019,Central,70,20,33,4500,2170,1035,67.08203932499369
2019,Eastern,25,5,9,2381,1162,814,48.79549159502341
2019,Northern,43,20,26,1844,1122,803,42.941821107167776
2019,Southern,60,12,28,3960,1415,1811,62.928530890209096
2019,Western,16,5,22,1191,526,495,34.51086785347479
2020,Central,70,11,16,3985,919,523,63.12685640834652
2020,Eastern,36,4,3,2158,460,343,46.45427859734774
2020,Northern,48,4,7,1506,450,359,38.80721582386451
2020,Southern,65,4,29,3460,563,796,58.82176467941097
2020,Western,24,4,20,945,192,211,30.740852297878796
2021,Central,85,14,36,4807,988,464,69.3325320466518
2021,Eastern,18,4,9,2374,490,319,48.72371086031933
2021,Northern,55,8,15,1387,367,286,37.242448899072144
2021,Southern,74,7,28,4020,790,904,63.40346993658943
2021,Western,21,4,21,786,167,175,28.035691537752374
2022,Central,71,20,38,5708,1531,887,75.55130707009641
2022,Eastern,31,4,9,2713,852,523,52.08646657242167
2022,Northern,45,6,14,1144,415,352,33.823069050575526
2022,Southern,83,16,35,4241,1227,1167,65.12296062065974
2022,Western,34,5,28,1371,263,344,37.027017163147235
2023,Central,70,13,28,6769,2217,1033,82.27393268830657
2023,Eastern,35,4,8,3021,1106,572,54.96362433464518
2023,Northern,34,7,15,1205,514,286,34.713109915419565
2023,Southern,57,10,26,4445,1718,1385,66.67083320313314
2023,Western,29,10,16,1437,504,445,37.907782842049734
2024,Central,88,16,29,7481,2518,1053,86.49277426467485
2024,Eastern,30,5,13,2599,1038,515,50.98038838612354
2024,Northern,28,4,15,1070,414,271,32.71085446759225
2024,Southern,94,19,31,4964,1873,1375,70.45565981523414
2024,Western,36,12,25,1356,484,375,36.823905279043935
