Year,District_City,Fatal,Non_Fatal_Injury,Damage_to_Property,year_cat,Fatal_log1p,Damage_to_Property_log,Non_Fatal_Injury_transYeo
2015,Caloocan,43,1130,2933,2015,3.784189633918261,7.983781068977451,0.5203000897069167
2015,Las Piñas,24,1035,2357,2015,3.2188758248682006,7.7651449029361315,0.42897772866147615
2015,Makati,19,969,9185,2015,2.995732273553991,9.125326997649227,0.36174619830643706
2015,Malabon,5,418,672,2015,1.791759469228055,6.51025834052315,-0.40637078538774246
2015,Mandaluyong,7,500,3715,2015,2.0794415416798357,8.220133957151859,-0.25587712526472484
2015,Manila,83,1338,9680,2015,4.430816798843313,9.177817180270623,0.7016837005824756
2015,Marikina,26,985,2596,2015,3.295836866004329,7.86172707782398,0.3783538948433752
2015,Muntinlupa,21,966,2807,2015,3.091042453358316,7.939871576361883,0.3586093189083375
2015,Navotas,12,211,507,2015,2.5649493574615367,6.2285110035911835,-0.9228312376252454
2015,Parañaque,26,1183,3730,2015,3.295836866004329,8.224163512637862,0.5687599927138102
2015,Pasay,10,712,4236,2015,2.3978952727983707,8.351374706721296,0.06145386982955779
2015,Pasig,23,1375,6199,2015,3.1780538303479458,8.73214326770192,0.7316846526348275
2015,Pateros,0,4,27,2015,0.0,3.295836866004329,-2.624998719813019
2015,Quezon,146,4466,22917,2015,4.990432586778736,10.039634272209469,2.2406976652812105
2015,San Juan,2,266,1336,2015,1.0986122886681098,7.197435354096591,-0.7576006026048171
2015,Taguig,39,823,4039,2015,3.6888794541139363,8.303752415563412,0.19976910629716477
2015,Valenzuela,33,722,1057,2015,3.5263605246161616,6.963189985870238,0.07455438455906971
2016,Caloocan,36,888,2935,2016,3.6109179126442243,7.984462732262196,0.27435067962726667
2016,Las Piñas,15,751,2473,2016,2.772588722239781,7.813187267521416,0.11178946981237943
2016,Makati,14,1004,11487,2016,2.70805020110221,9.348971240145405,0.3978139145647765
2016,Malabon,14,432,674,2016,2.70805020110221,6.513230110912307,-0.37919283025624356
2016,Mandaluyong,1,503,5219,2016,0.6931471805599453,8.560061091643414,-0.25073485265580814
2016,Manila,66,1148,10093,2016,4.204692619390966,9.219597393238859,0.5369464317411342
2016,Marikina,16,1167,3530,2016,2.833213344056216,8.169053149927343,0.5543058063741391
2016,Muntinlupa,14,968,2907,2016,2.70805020110221,7.9748769005588755,0.36070138486025444
2016,Navotas,9,212,550,2016,2.302585092994046,6.309918278226516,-0.9195533697691051
2016,Parañaque,37,1041,4286,2016,3.6375861597263857,8.363109176033522,0.4349280637846369
2016,Pasay,13,723,4962,2016,2.6390573296152584,8.509564164251746,0.07585691337186781
2016,Pasig,23,1179,7157,2016,3.1780538303479458,8.875846177738598,0.5651603064764145
